Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100p","C_0201_0603Metric",5.767894,-3.821752,180.000000,top
"C2","270p","C_0201_0603Metric",5.767894,-3.794193,180.000000,top
"C3","1n","C_0201_0603Metric",5.767894,-3.766634,180.000000,top
"C4","2.7n","C_0201_0603Metric",5.767894,-3.739075,180.000000,top
"C5","10n","C_0201_0603Metric",5.767894,-3.711516,180.000000,top
"C6","100n","C_0201_0603Metric",5.767894,-3.683957,180.000000,top
"C7","100n","C_0201_0603Metric",5.898209,-3.683957,0.000000,top
"C8","10n","C_0201_0603Metric",5.898209,-3.711516,0.000000,top
"C9","2.7n","C_0201_0603Metric",5.898209,-3.739075,0.000000,top
"C10","1n","C_0201_0603Metric",5.898209,-3.766634,0.000000,top
"C11","270p","C_0201_0603Metric",5.898209,-3.794193,0.000000,top
"C12","100p","C_0201_0603Metric",5.898209,-3.821752,0.000000,top
"C13","100p","C_0201_0603Metric",5.767894,-4.255807,180.000000,top
"C14","270p","C_0201_0603Metric",5.767894,-4.283366,180.000000,top
"C15","1n","C_0201_0603Metric",5.767894,-4.310925,180.000000,top
"C16","2.7n","C_0201_0603Metric",5.767894,-4.338484,180.000000,top
"C17","10n","C_0201_0603Metric",5.767894,-4.366043,180.000000,top
"C18","100n","C_0201_0603Metric",5.767894,-4.393602,180.000000,top
"C19","100n","C_0201_0603Metric",5.898209,-4.393602,0.000000,top
"C20","10n","C_0201_0603Metric",5.898209,-4.366043,0.000000,top
"C21","2.7n","C_0201_0603Metric",5.898209,-4.338484,0.000000,top
"C22","1n","C_0201_0603Metric",5.898209,-4.310925,0.000000,top
"C23","270p","C_0201_0603Metric",5.898209,-4.283366,0.000000,top
"C24","100p","C_0201_0603Metric",5.898209,-4.255807,0.000000,top
"C25","10n","C_0402_1005Metric",4.793307,-4.038386,90.000000,top
"C26","100n","C_0402_1005Metric",4.829724,-4.038386,90.000000,top
"C27","10n","C_0402_1005Metric",4.440748,-3.831693,0.000000,top
"C28","100n","C_0402_1005Metric",4.440748,-3.795276,0.000000,top
"C29","100n","C_0402_1005Metric",6.835630,-4.038386,-90.000000,top
"C30","10n","C_0402_1005Metric",6.872047,-4.038386,-90.000000,top
"C31","100n","C_0402_1005Metric",7.224606,-4.281496,180.000000,top
"C32","10n","C_0402_1005Metric",7.224606,-4.245079,180.000000,top
"C33","1u","C_0402_1005Metric",7.995079,-3.556299,90.000000,top
"C34","100n","C_0402_1005Metric",7.958661,-3.556299,90.000000,top
"C35","10n","C_0402_1005Metric",7.922244,-3.556299,90.000000,top
"C36","100n","C_0402_1005Metric",4.624039,-2.943406,0.000000,top
"C37","100u","C_1206_3216Metric",4.335382,-3.141370,0.000000,top
"C38","47u","C_0603_1608Metric",4.457429,-2.999638,90.000000,top
"C39","10u","C_0603_1608Metric",4.457429,-3.116764,-90.000000,top
"C40","10u","C_0603_1608Metric",4.791689,-3.163024,-90.000000,top
"C41","10u","C_0603_1608Metric",4.557087,-2.996063,-90.000000,top
"C42","47n","C_0402_1005Metric",4.733618,-3.163024,-90.000000,top
"C43","10n","C_0402_1005Metric",4.675547,-3.163024,-90.000000,top
"C44","1n","C_0402_1005Metric",4.617346,-3.163024,-90.000000,top
"C45","100n","C_0402_1005Metric",4.779551,-2.943535,0.000000,top
"C46","10u","C_0603_1608Metric",4.724409,-3.022638,-90.000000,top
"C47","10n","C_0402_1005Metric",4.935555,-3.160433,0.000000,top
"C48","100n","C_0402_1005Metric",5.012720,-3.160433,0.000000,top
"C49","10n","C_0402_1005Metric",7.630906,-4.449803,0.000000,top
"C50","100n","C_0402_1005Metric",7.631102,-4.410433,0.000000,top
"C51","10n","C_0402_1005Metric",7.792520,-4.449213,180.000000,top
"C52","100n","C_0402_1005Metric",7.792520,-4.409843,180.000000,top
"C53","10n","C_0402_1005Metric",7.793695,-4.677559,180.000000,top
"C54","100n","C_0402_1005Metric",7.793695,-4.638189,180.000000,top
"C55","10n","C_0402_1005Metric",7.628341,-4.677559,0.000000,top
"C56","100n","C_0402_1005Metric",7.628734,-4.638189,0.000000,top
"C57","1u","C_0402_1005Metric",7.465551,-4.811417,90.000000,top
"C58","1u","C_0402_1005Metric",7.386811,-4.811417,90.000000,top
"C59","1u","C_0402_1005Metric",7.465551,-4.504724,90.000000,top
"C60","1u","C_0402_1005Metric",7.386811,-4.504724,90.000000,top
"C61","1u","C_0402_1005Metric",7.465551,-4.736614,90.000000,top
"C62","1u","C_0402_1005Metric",7.386811,-4.736614,90.000000,top
"C63","1u","C_0402_1005Metric",7.465551,-4.427953,90.000000,top
"C64","1u","C_0402_1005Metric",7.386811,-4.427953,90.000000,top
"C65","1u","C_0402_1005Metric",7.465551,-4.581102,90.000000,top
"C66","1u","C_0402_1005Metric",7.386811,-4.581102,90.000000,top
"C67","1u","C_0402_1005Metric",7.465551,-4.657480,90.000000,top
"C68","1u","C_0402_1005Metric",7.386811,-4.657480,90.000000,top
"C69","10n","C_0402_1005Metric",7.459449,-3.958661,180.000000,top
"C70","100n","C_0402_1005Metric",7.459449,-3.921260,180.000000,top
"C71","10n","C_0402_1005Metric",7.634055,-3.970472,0.000000,top
"C72","100n","C_0402_1005Metric",7.634055,-3.933071,0.000000,top
"C73","10n","C_0402_1005Metric",7.424409,-4.193898,0.000000,top
"C74","100n","C_0402_1005Metric",7.424409,-4.232087,0.000000,top
"C75","10n","C_0402_1005Metric",7.575787,-3.740354,90.000000,top
"C76","100n","C_0402_1005Metric",7.575787,-3.813780,90.000000,top
"C77","1u","C_0402_1005Metric",7.551969,-4.174016,90.000000,top
"C78","10n","C_0402_1005Metric",4.205906,-4.118110,0.000000,top
"C79","100n","C_0402_1005Metric",4.205906,-4.155512,0.000000,top
"C80","10n","C_0402_1005Metric",4.031299,-4.106299,180.000000,top
"C81","100n","C_0402_1005Metric",4.031299,-4.143701,180.000000,top
"C82","10n","C_0402_1005Metric",4.240945,-3.882874,180.000000,top
"C83","100n","C_0402_1005Metric",4.240945,-3.844685,180.000000,top
